KEYS,,DECK-SELECTED,,,,CH0,CH1,CH2,LED,,,,,,,,
LEFT,SHIFT,DECK A,TURN,,CW,B1,4F,41,,177,79,65,,,,,
,,,,,CCW,B1,4F,3F,,177,79,63,,,,,
,,DECK C,,,START,91,4F,7F,,145,79,127,,,,,
,,,,,STOP,91,4F,0,,145,79,0,,,,,
,,DECK A,TURN,,CW,B3,4F,41,,179,79,65,,,,,
,,,,,CCW,B3,4F,3F,,179,79,63,,,,,
,,DECK C,,,START,93,4F,7F,,147,79,127,,,,,
,,,,,STOP,93,4F,0,,147,79,0,,,,,
RIGHT,,DECK A,TURN,,CW,B2,4F,41,,178,79,65,,,,,
,,,,,CCW,B2,4F,3F,,178,79,63,,,,,
,,DECK C,,,START,92,4F,7F,,146,79,127,,,,,
,,,,,STOP,92,4F,0,,146,79,0,,,,,
,,DECK A,TURN,,CW,B4,4F,41,,180,79,65,,,,,
,,,,,CCW,B4,4F,3F,,180,79,63,,,,,
,,DECK C,,,START,94,4F,7F,,148,79,127,,,,,
,,,,,STOP,94,4F,0,,148,79,0,,,,,
LEFT,NO SHIFT,DECK A,TURN,,CW,B1,0F,41,,177,15,65,,,,,
,,,,,CCW,B1,0F,3F,,177,15,63,,,,,
,,DECK C,,,START,91,0F,7F,,145,15,127,,,,,
,,,,,STOP,91,0F,0,,145,15,0,,,,,
,,DECK A,TURN,,CW,B3,0F,41,,179,15,65,,,,,
,,,,,CCW,B3,0F,3F,,179,15,63,,,,,
,,DECK C,,,START,93,0F,7F,,147,15,127,,,,,
,,,,,STOP,93,0F,0,,147,15,0,,,,,
RIGHT,,DECK A,TURN,,CW,B2,0F,41,,178,15,65,,,,,
,,,,,CCW,B2,0F,3F,,178,15,63,,,,,
,,DECK C,,,START,92,0F,7F,,146,15,127,,,,,
,,,,,STOP,92,0F,0,,146,15,0,,,,,
,,DECK A,TURN,,CW,B4,0F,41,,180,15,65,,,,,
,,,,,CCW,B4,0F,3F,,180,15,63,,,,,
,,DECK C,,,START,94,0F,7F,,148,15,127,,,,,
,,,,,STOP,94,0F,0,,148,15,0,,,,,
